QuarterBack: Carson Wentz, WentCa00
QuarterBack: Jameis Winston, WinsJa00
QuarterBack: Andy Dalton, DaltAn00
QuarterBack: Joe Flacco, FlacJo00
QuarterBack: Blake Bortles, BortBl00
RunningBack: Rob Kelley, KellRo00
RunningBack: Joe Mixon, MixoJo00
RunningBack: Thomas Rawls, RawlTh00
RunningBack: Christian McCaffrey, McCaCh01
RunningBack: Kareem Hunt, HuntKa00
RunningBack: Mike Gillislee, GillMi00
WideRecievers: Kenny Golladay, GollKe00
WideRecievers: Tyrell Williams, WillTy00
WideRecievers: Josh Docston, DoctJo00
WideRecievers: Adam Thielen, ThieAd00
WideRecievers: Jamison Crowder, CrowJa00
WideRecievers: Corey Coleman, ColeCo00
TightEnd: Jack Doyle, DoylJa00
TightEnd: Austin Hooper, HoopAu00
TightEnd: Zach Miller, MillZa02
TightEnd: Hunter Henry, HenrHu00
TightEnd: C.J. Fiedorowicz, FiedC.00
TightEnd: O.J. Howard, HowaO.00
