QuarterBack: Kyler Murray, MurrKy00
QuarterBack: Jameis Winston, WinsJa00 
QuarterBack: Dak Prescott, PresDa01
QuarterBack: Lamar Jackson, JackLa00
QuarterBack: Derek Carr, CarrDe02
RunningBack: Josh Jacobs, JacoJo01
RunningBack: Alexander Mattison, MattAl01
RunningBack: Miles Sanders, SandMi01
RunningBack: Devonta Freeman, FreeDe00
RunningBack: Derrius Guice, GuicDe00
RunningBack: Jaylen Samuels, SamuJa00
RunningBack: Darrel Henderson, HendDa00
RunningBack: Tevin Coleman, ColeTe01
RunningBack: Duke Johnson Jr., JohnDu00
RunningBack: Derrick Henry, HenrDe00
RunningBack: Jordan Howard, HowaJo00
WideReceiver: Christian Kirk, KirkCh01
WideReceiver: Dede Westbrook, WestDe00
WideReceiver: Anthony Miller, MillAn02
WideReceiver: DJ Moore, MoorD.00
WideReceiver: James Washington, WashJa00
WideReceiver: Dante Pettis, PettDa00
WideReceiver: DeSean Jackson, JackDe00
WideReceiver: Robby Anderson, AndeRo04
WideReceiver: Kenny Golladay, GollKe00
TightEnd: T.J. Hockenson, HockTJ00 
TightEnd: Mark Andrews, AndrMa00
TightEnd: Austin Hooper, HoopAu00
TightEnd: Delanie Walker, WalkHu00
TightEnd: Jared Cook, CookJa02
TightEnd: Vance MCdonald, McDoVa00
TightEnd: Jordan Reed, ReedJo02
TightEnd: O.J. Howard, HowaO.00
TightEnd: Dallas Goedert, GoedDa00
